id,name,brand
1,7878,CX
2,4040BT,CX
3,666BT,CX
4,9090BT,PZ
5,COOLER 1201,BUSH
6,555BT,CX
7,15000BT,PZ
8,9696BT,CX
9,4020BT,CX
10,16000BT,KENWA
11,COOLER DX TOWER,CX
12,COOLER PLAYER,BUSH
13,8700BT,PZ
14,4444BT,PZ
15,13000BT,KENWA
16,9010BT,CX
17,12000BT,PZ
18,9999BT,CX
19,COOLER THUNDER,CX
20,9898BT,PZ
21,WM 6500,BELTEK
22,9500BT,CX
23,1195BT,CX
24,LED 24,CX
25,7171,CX
26,1010BT,KENWA
27,WM 8200,SVL WM
28,TRALLY 1550,CX
29,4100,PZ
506,13001BT,Pizaro
31,9700bt,PZ
32,COOLER HURICANE,CX
33,9191BT,CX
34,9595BT,CX
35,WM8500,SVL WM
36,14000BT,CX
37,4050BT,CX
38,4092BT,PZ
39,6500,SVL WM
40,5000BT,CX
41,7676BT,PZ
42,LED24,BUSH
43,1185,KENWA
44,7474BT,CX
45,4855,PZ
46,8501BT,KENWA
47,10000BT,CX
48,COOLER TOWER 12,CX
49,660bt,KENWA
50, LED 32,SUNTECH
51, LED 32,PZ
52, LED 32,BUSH
53,LED 32,KENWA
54,LED 32SMART,PZ
55,LED 32,CX
56,LED 17,BUSH
57,LED 40,BUSH
58,4100BT,CX
59,COOLER OPTECH,BUSH
60,18000BT,CX
61,COOLER OPTECH,KENWA
62,LED 50,BUSH
63,FORCE18,KENWA
64,WM7800,SVL WM
65,LED 24,KENWA
66,LED 40,BELTEK
67,7777,CX
68,7575,CX
69,24LED,KENWA
70, 40LED,CX
71, 17LED,BUSH
72, 40LED,PZ
73,40LED,KENWA
74,4094BT,PZ
75,8585BT,KENWA
76,WM 6800,SVL WM
77,4377,CX
78,COOLER SKY MAX,CX
79,4010BT,PZ
80,LED 32,BELTEK
81,COOLER BOLTEN,BUSH
82,WM 9000,SVL WM
83,5002BT,CX
84,565BT,PZ
85,WM6500,SVL WM
86,OSCOROP COOLER JOY,CX
87,888BT,PZ
88,COOLER HURICANE,BUSH
89,LED 40,CX
90,808BT,CX
91,19 LED,BUSH
92,PLAYER COOLER,BUSH
93,COOLER BLAST ,BUSH
94,850 TRALLY,CX
95,COOLER ALPHINE,BUSH
96,WM8200 ,BELTEK
97,COOLER OZONE,BUSH
98,COOLER DESERT,BUSH
99,3000BT,CX
100,COOLER STROM,BUSH
101,4000,CX
102,COMPO FAN,CX
103,6092,CX
104,COOLER PILOT 18,CX
105,COOLER HILTON,BUSH
106,4877,CX
107,8000,CX
108,5252 ,CX
109,COOLER FCON,BUSH
110,COOLER FOCUS,CX
111,COOLER IRON,KENWA
112,LED 32 S,KENWA
113,COOLER,OSCAR
114,COOLER BOOM 16,CX
115,COOLER EURO,BUSH
116,COOLER CITY,BUSH
117,COOLER AIRCON,BUSH
118,7500BT,CX
119,4500,CX
120,7070BT,CX
121,COOLER SKY KING,CX
122,COOLER BOOM 12,CX
123,COOLER ICON,BUSH
124,6060 BT,CX
125,WM 9050,SVL WM
126,COOLER AMAZE,BUSH
127,COOLER JOY,BUSH
128,COOLER ORCHID,BUSH
129,COOLER OYSTER,BUSH
130,LED 24,SVL
131,COOLER FLOYED,BUSH
132,COOLER FIGGU,BUSH
133,COOLER PLANET ,BUSH
134, COOLER ORCHID,BUSH
135,CANDY FIRE,CX
136,COOLER HICON,BUSH
137,899 BT,CX
138,LED 50,BELTEK
139,COOLER 46,KENWA
140,COOLER PRIME,BUSH
141,OSCORP COOLER,BUSH
142,19000,CX
143,COOLER WONDER,BUSH
144,LED 19,BUSH
145,6100,CX
146, COOLER COSMOOS,BUSH
147,810BT,CX
148,6094,CX
149,860 TRALLY,CX
150,4800,CX
151,TRALLY 1515,CX
152,6500,CX
153,WM 6250,SVL
154,4110BT,CX
155,5454 BT,CX
156,25000BT,CX
157,1060 BT,CX
158,LED 32GLASS,CX
159,LED 16,SVL
160,LED 32 SMART,BUSH
161,11000,CX
162,TRALLY 150B,CX
163,LED 40 ,SVL
164,5050,CX
165,LED 32,OSCORP
166,LED 50,CX
167,LED 50,KENWA
168,LED 50,PZ
169,WM8600,SVL WM
170,5800,PZ
171,1111,CX
172,6881BT,CX
173,9292,CX
174,LED 24,BELTEK
175,4562,CX
176,7501 BT,CX
177,4141 BT,CX
178,5400,CX
179,COOLER KING,CX
180,9550  ,CX
181,818 BT,CX
182,5001 BT,CX
183,32 S,CX
184,LED 32 S,CX
185,LED 40 S,BUSH
186,LED 40 S ,CX
187,LED 40S ,PZ
188,LED 40 S ,KENWA
189,6565BT,CX
190,7272bt,CX
191,6098,CX
192,8001CX,CX
193,20000cx,CX
194,WM 8000 SVL,SVL
195,2600,CX
196,LED 19,CX
197,4052,CX
198,3100,CX
199,1212,CX
200,4242,CX
201,LED 17,KENWA
202,LED 40 SMART,OSCORP
203,LED 50 SMART ,BUSH
204,LED 19 ,PZ
205,505 BT,CX
206,LED 32 SMART,OSCORP
207,WM 8200,SUJICON
208,7100,CX
209,LED 50 SMART,KENWA
210,13000BT,CX
211,13000BT,PZ
212,6262,KENWA
