id,dealer_name,dealer_contact,dealer_address
1,KHALSA ELE,9355334349,JAGADHRI 
2,MINI ELE,9416446299,YNR
3,SHRI RAM GHANOUR,9248588374,GHANOUR
4,GUPTA JAGADHRI,9467858827,JAGADHRI
5,METRO ELE,8168622409,SAMALKHA
6,SHANKAR ELE,7015512309,CHHACHHROULI
7,SUBAHSH FURNITURE,9896056141,YNR
8,PREET ELE,9468295004,DOSARKA
9,PARAS COMPUTER,9254667100,LADWA
10,PARKASH CITY,9355950008,YNR
11,RADHEY KHZ,8685930000,KHIZRABAD
12,SUPREME ENTERPRISES,9355840935,YNR
13,MUSKAAN ELE,7015505292,AMBALA CITY
14,VISHU TITHNAGAR,9996612736,YNR
15,FRIENDS ELE,9034210349,PANIPAT
16,SAINI BURIA,9315472612,BURIA
17,JAI MA BALA SUNDERI,8278823029,KALA AMB
18,SUPREME RADIO,9354426003,YNR
19,PARVEEN MOBILE,8930790964,JAGADHRI
20,SETHI ENTERPRISES,9355843545,AMBALACITY
21,GARG AGENCY,8708344190,ASSANDH
22,MADAN ELE,9255122124,SONIPAT
23,OM SAI ELE,9671521472,BARARA
24,JYOTI COMPUTER,9812478096,CHEEKA
25,TAKKAR ENTERPRISES,9541495243,AMBALA CITY
26,SHIV JHANSA,9588199385,JHANSA
27,BINDRA ELE,9416175130,SAHA
28,KAMAL DHAND,9896408910,DHAND
29,DEEPAK HIMSIKHA,9992544441,HIMSIKHA
30,GERA VISION J/W/S,9896108381,YNR
31,JALOTA ELE,7015240807,YNR
32,KANSAL ELE,9728529200,KALKA
522,RAJAT ELE,3694625897,PANIPAT
34,BHMIKA MODEL TOWN,7056997709,YNR
35,KOHINOOR ELE,8950444532,KUK
36,SAJJAN ELE,9050181334,KHARKHODA
37,UUJWAL ELE,9813197755,GHANOUR
38,ANKIT ELE,9416539551,GHANOUR
39,SALUJA ELE,9896091487,INDRI
40,MOONLIGHT,7206503070,KARNAL
41,PRIYANKA,9996991347,AMBALA CITY
42,SAHIL PUNDRI,1234567891,PUNDRI
43,RS TRADER,1234563297,YNR
44,SANT NAMDEV,8708621011,BILASPUR
45,COMPUTER STAR ASSANDH,1234567891,ASSANDH
46,TARSEM ELE,7988891988,AMBALA CITY
47,GOEL TV CENTER,9050147871,SONIPAT
48,RAMA ELE,8813878171,GOHANA
49,VISHAL ELE,7876969746,JAGADHRI
50,NANDINI ELE,4567893126,JAGADHRI
51,MURARAI ELE,1234567891,AMBALA CANTT
52,METRO ELE ,8168622409,SAMALKHA
53,HIMSELF,1234569871,HARYANA
54,JAIN  MULANA,9813057677,HARYANA
55,JAI AMBEY RAJOND,7015667728,HARYANA
56,VIKAS RAJOND,9896802804,RAJOND
57,JAI MA SEHZADPUR,1234566985,SEHZADPUR
58,GURUDEV NISSING,9813268518,NISSING
59,ANAND SONIPAT,9896262911,SONIPAT
60,SAINI KHARWAN,12345669852,KHARWAN
61,UV ELE,9034629439,KAITHAL
62,SAGAR YNR,9996419615,YNR
63,ARORA ELE,9315116011,AMBALA CITY
64,SUBHASH KALAYAT,9996757821,KALAYAT
65,BHARAT ELE,9802425775,ASSANDH
66,HARI OM,9991090649,SAMALKHA
